Nes,M,pA,rep,sweeps
200.0,1,0.0001,0,82
200.0,1,0.0001,1,88
200.0,1,0.0001,2,93
200.0,1,0.0001,3,66
200.0,1,0.0001,4,90
200.0,1,0.0001,5,94
200.0,1,0.0001,6,109
200.0,1,0.0001,7,99
200.0,1,0.0001,8,71
200.0,1,0.0001,9,89
200.0,1,0.0001,10,74
200.0,1,0.0001,11,78
200.0,1,0.0001,12,82
200.0,1,0.0001,13,80
200.0,1,0.0001,14,90
200.0,1,0.0001,15,83
200.0,1,0.0001,16,78
200.0,1,0.0001,17,83
200.0,1,0.0001,18,76
200.0,1,0.0001,19,77
200.0,1,0.0001,20,77
200.0,1,0.0001,21,72
200.0,1,0.0001,22,81
200.0,1,0.0001,23,89
200.0,1,0.0001,24,92
200.0,1,0.0001,25,98
200.0,1,0.0001,26,78
200.0,1,0.0001,27,92
200.0,1,0.0001,28,90
200.0,1,0.0001,29,93
200.0,1,0.0001,30,75
200.0,1,0.0001,31,90
200.0,1,0.0001,32,94
200.0,1,0.0001,33,104
200.0,1,0.0001,34,88
200.0,1,0.0001,35,86
200.0,1,0.0001,36,89
200.0,1,0.0001,37,91
200.0,1,0.0001,38,96
200.0,1,0.0001,39,87
200.0,1,0.0001,40,74
200.0,1,0.0001,41,76
200.0,1,0.0001,42,100
200.0,1,0.0001,43,80
200.0,1,0.0001,44,77
200.0,1,0.0001,45,105
200.0,1,0.0001,46,92
200.0,1,0.0001,47,70
200.0,1,0.0001,48,79
200.0,1,0.0001,49,68
200.0,1,0.0001,50,76
200.0,1,0.0001,51,93
200.0,1,0.0001,52,66
200.0,1,0.0001,53,80
200.0,1,0.0001,54,83
200.0,1,0.0001,55,97
200.0,1,0.0001,56,62
200.0,1,0.0001,57,77
200.0,1,0.0001,58,79
200.0,1,0.0001,59,81
200.0,1,0.0001,60,88
200.0,1,0.0001,61,80
200.0,1,0.0001,62,91
200.0,1,0.0001,63,68
200.0,1,0.0001,64,97
200.0,1,0.0001,65,91
200.0,1,0.0001,66,83
200.0,1,0.0001,67,85
200.0,1,0.0001,68,84
200.0,1,0.0001,69,88
200.0,1,0.0001,70,89
200.0,1,0.0001,71,65
200.0,1,0.0001,72,69
200.0,1,0.0001,73,83
200.0,1,0.0001,74,76
200.0,1,0.0001,75,71
200.0,1,0.0001,76,86
200.0,1,0.0001,77,83
200.0,1,0.0001,78,79
200.0,1,0.0001,79,89
200.0,1,0.0001,80,86
200.0,1,0.0001,81,63
200.0,1,0.0001,82,80
200.0,1,0.0001,83,81
200.0,1,0.0001,84,86
200.0,1,0.0001,85,93
200.0,1,0.0001,86,76
200.0,1,0.0001,87,67
200.0,1,0.0001,88,96
200.0,1,0.0001,89,84
200.0,1,0.0001,90,94
200.0,1,0.0001,91,95
200.0,1,0.0001,92,85
200.0,1,0.0001,93,65
200.0,1,0.0001,94,67
200.0,1,0.0001,95,70
200.0,1,0.0001,96,92
200.0,1,0.0001,97,97
200.0,1,0.0001,98,92
200.0,1,0.0001,99,83
200.0,1,0.0001,100,79
200.0,1,0.0001,101,91
200.0,1,0.0001,102,84
200.0,1,0.0001,103,87
200.0,1,0.0001,104,101
200.0,1,0.0001,105,84
200.0,1,0.0001,106,77
200.0,1,0.0001,107,81
200.0,1,0.0001,108,77
200.0,1,0.0001,109,88
200.0,1,0.0001,110,66
200.0,1,0.0001,111,91
200.0,1,0.0001,112,78
200.0,1,0.0001,113,69
200.0,1,0.0001,114,93
200.0,1,0.0001,115,67
200.0,1,0.0001,116,103
200.0,1,0.0001,117,75
200.0,1,0.0001,118,75
200.0,1,0.0001,119,101
200.0,1,0.0001,120,89
200.0,1,0.0001,121,75
200.0,1,0.0001,122,92
200.0,1,0.0001,123,98
200.0,1,0.0001,124,77
200.0,1,0.0001,125,85
200.0,1,0.0001,126,79
200.0,1,0.0001,127,98
200.0,1,0.0001,128,73
200.0,1,0.0001,129,89
200.0,1,0.0001,130,74
200.0,1,0.0001,131,86
200.0,1,0.0001,132,87
200.0,1,0.0001,133,88
200.0,1,0.0001,134,97
200.0,1,0.0001,135,93
200.0,1,0.0001,136,91
200.0,1,0.0001,137,64
200.0,1,0.0001,138,89
200.0,1,0.0001,139,78
200.0,1,0.0001,140,80
200.0,1,0.0001,141,106
200.0,1,0.0001,142,78
200.0,1,0.0001,143,86
200.0,1,0.0001,144,97
200.0,1,0.0001,145,82
200.0,1,0.0001,146,91
200.0,1,0.0001,147,81
200.0,1,0.0001,148,72
200.0,1,0.0001,149,79
200.0,1,0.0001,150,81
200.0,1,0.0001,151,80
200.0,1,0.0001,152,71
200.0,1,0.0001,153,70
200.0,1,0.0001,154,88
200.0,1,0.0001,155,74
200.0,1,0.0001,156,73
200.0,1,0.0001,157,84
200.0,1,0.0001,158,75
200.0,1,0.0001,159,75
200.0,1,0.0001,160,88
200.0,1,0.0001,161,84
200.0,1,0.0001,162,80
200.0,1,0.0001,163,92
200.0,1,0.0001,164,85
200.0,1,0.0001,165,82
200.0,1,0.0001,166,81
200.0,1,0.0001,167,81
200.0,1,0.0001,168,83
200.0,1,0.0001,169,82
200.0,1,0.0001,170,101
200.0,1,0.0001,171,69
200.0,1,0.0001,172,91
200.0,1,0.0001,173,61
200.0,1,0.0001,174,75
200.0,1,0.0001,175,77
200.0,1,0.0001,176,69
200.0,1,0.0001,177,98
200.0,1,0.0001,178,83
200.0,1,0.0001,179,97
200.0,1,0.0001,180,86
200.0,1,0.0001,181,81
200.0,1,0.0001,182,82
200.0,1,0.0001,183,77
200.0,1,0.0001,184,72
200.0,1,0.0001,185,98
200.0,1,0.0001,186,110
200.0,1,0.0001,187,85
200.0,1,0.0001,188,78
200.0,1,0.0001,189,101
200.0,1,0.0001,190,72
200.0,1,0.0001,191,77
200.0,1,0.0001,192,85
200.0,1,0.0001,193,83
200.0,1,0.0001,194,95
200.0,1,0.0001,195,80
200.0,1,0.0001,196,113
200.0,1,0.0001,197,106
200.0,1,0.0001,198,88
200.0,1,0.0001,199,81
200.0,1,0.0001,200,89
200.0,1,0.0001,201,68
200.0,1,0.0001,202,80
200.0,1,0.0001,203,96
200.0,1,0.0001,204,85
200.0,1,0.0001,205,94
200.0,1,0.0001,206,104
200.0,1,0.0001,207,92
200.0,1,0.0001,208,90
200.0,1,0.0001,209,78
200.0,1,0.0001,210,81
200.0,1,0.0001,211,96
200.0,1,0.0001,212,97
200.0,1,0.0001,213,84
200.0,1,0.0001,214,81
200.0,1,0.0001,215,85
200.0,1,0.0001,216,78
200.0,1,0.0001,217,68
200.0,1,0.0001,218,98
200.0,1,0.0001,219,74
200.0,1,0.0001,220,89
200.0,1,0.0001,221,86
200.0,1,0.0001,222,91
200.0,1,0.0001,223,85
200.0,1,0.0001,224,76
200.0,1,0.0001,225,96
200.0,1,0.0001,226,80
200.0,1,0.0001,227,71
200.0,1,0.0001,228,89
200.0,1,0.0001,229,75
200.0,1,0.0001,230,80
200.0,1,0.0001,231,76
200.0,1,0.0001,232,91
200.0,1,0.0001,233,91
200.0,1,0.0001,234,84
200.0,1,0.0001,235,85
200.0,1,0.0001,236,77
200.0,1,0.0001,237,76
200.0,1,0.0001,238,94
200.0,1,0.0001,239,93
200.0,1,0.0001,240,66
200.0,1,0.0001,241,87
200.0,1,0.0001,242,90
200.0,1,0.0001,243,88
200.0,1,0.0001,244,77
200.0,1,0.0001,245,83
200.0,1,0.0001,246,75
200.0,1,0.0001,247,80
200.0,1,0.0001,248,71
200.0,1,0.0001,249,75
200.0,1,0.0001,250,100
200.0,1,0.0001,251,71
200.0,1,0.0001,252,100
200.0,1,0.0001,253,86
200.0,1,0.0001,254,84
200.0,1,0.0001,255,101
200.0,1,0.0001,256,78
200.0,1,0.0001,257,65
200.0,1,0.0001,258,94
200.0,1,0.0001,259,86
200.0,1,0.0001,260,76
200.0,1,0.0001,261,105
200.0,1,0.0001,262,86
200.0,1,0.0001,263,79
200.0,1,0.0001,264,87
200.0,1,0.0001,265,75
200.0,1,0.0001,266,85
200.0,1,0.0001,267,77
