shat,w_size,M,pA,rep,o999,o9999,o99999,o999_irs,o9999_irs,o99999_irs
0.02,10000.0,10,0.001,est,0.009125,0.00445,0.00135,0.0034,0.001875,0.000675
0.02,10000.0,10,0.001,0,0.009425,0.005025,0.001575,0.00355,0.002425,0.0008
0.02,10000.0,10,0.001,1,0.00995,0.005325,0.001525,0.003975,0.00235,0.000775
0.02,10000.0,10,0.001,2,0.00835,0.004425,0.0015,0.003225,0.00195,0.000825
0.02,10000.0,10,0.001,3,0.0092,0.0046,0.001425,0.003675,0.002025,0.00075
0.02,10000.0,10,0.001,4,0.009375,0.004475,0.001375,0.00365,0.002,0.000675
0.02,10000.0,10,0.001,5,0.008875,0.00395,0.00095,0.00325,0.00165,0.000575
0.02,10000.0,10,0.001,6,0.0089,0.00425,0.001325,0.003575,0.002,0.000675
0.02,10000.0,10,0.001,7,0.00945,0.004475,0.001175,0.003775,0.001825,0.00055
0.02,10000.0,10,0.001,8,0.009475,0.0048,0.0018,0.00385,0.0021,0.00095
0.02,10000.0,10,0.001,9,0.0086,0.00415,0.001325,0.003,0.0016,0.00065
0.02,10000.0,10,0.001,10,0.00985,0.004575,0.001375,0.003275,0.001875,0.00075
0.02,10000.0,10,0.001,11,0.009725,0.00475,0.001575,0.0031,0.0017,0.00055
0.02,10000.0,10,0.001,12,0.010325,0.005025,0.001475,0.004025,0.002325,0.0008
0.02,10000.0,10,0.001,13,0.0103,0.0053,0.0013,0.004225,0.002475,0.000725
0.02,10000.0,10,0.001,14,0.009225,0.0044,0.001275,0.003225,0.001875,0.00065
0.02,10000.0,10,0.001,15,0.008975,0.0041,0.0012,0.00315,0.001625,0.000575
0.02,10000.0,10,0.001,16,0.009975,0.00515,0.00165,0.00355,0.0019,0.0009
0.02,10000.0,10,0.001,17,0.009075,0.004475,0.001375,0.002925,0.0015,0.0006
0.02,10000.0,10,0.001,18,0.009975,0.005,0.001725,0.00365,0.002225,0.000875
0.02,10000.0,10,0.001,19,0.008975,0.00465,0.00135,0.003625,0.002175,0.000775
0.02,10000.0,10,0.001,20,0.0088,0.004125,0.001375,0.0034,0.0017,0.000675
0.02,10000.0,10,0.001,21,0.009125,0.0042,0.001025,0.003675,0.001875,0.000575
0.02,10000.0,10,0.001,22,0.008975,0.004475,0.00135,0.0035,0.00195,0.0007
0.02,10000.0,10,0.001,23,0.009425,0.004225,0.0011,0.0035,0.0017,0.000575
0.02,10000.0,10,0.001,24,0.008775,0.00445,0.0012,0.0036,0.00205,0.0007
0.02,10000.0,10,0.001,25,0.00925,0.004675,0.0014,0.003475,0.00175,0.0005
0.02,10000.0,10,0.001,26,0.010125,0.0049,0.001425,0.003625,0.00215,0.00075
0.02,10000.0,10,0.001,27,0.01,0.004775,0.001275,0.0038,0.001925,0.000625
0.02,10000.0,10,0.001,28,0.008575,0.004225,0.001425,0.003575,0.001875,0.0007
0.02,10000.0,10,0.001,29,0.008575,0.004425,0.001325,0.0034,0.0019,0.000775
0.02,10000.0,10,0.001,30,0.009675,0.004775,0.001525,0.00345,0.001975,0.00085
0.02,10000.0,10,0.001,31,0.0089,0.0042,0.0013,0.003625,0.00195,0.000625
0.02,10000.0,10,0.001,32,0.009125,0.004925,0.001425,0.00365,0.002125,0.000675
0.02,10000.0,10,0.001,33,0.008575,0.004175,0.0013,0.003375,0.001775,0.000775
0.02,10000.0,10,0.001,34,0.008175,0.004125,0.001275,0.003475,0.001925,0.0005
0.02,10000.0,10,0.001,35,0.009275,0.00485,0.001525,0.00335,0.002075,0.000825
0.02,10000.0,10,0.001,36,0.0093,0.003875,0.0012,0.00345,0.001575,0.000575
0.02,10000.0,10,0.001,37,0.008975,0.0042,0.001225,0.003725,0.002,0.000825
0.02,10000.0,10,0.001,38,0.009925,0.0051,0.001525,0.003875,0.00215,0.000725
0.02,10000.0,10,0.001,39,0.0092,0.0045,0.00125,0.003375,0.002125,0.000625
0.02,10000.0,10,0.001,40,0.0086,0.003625,0.001025,0.0031,0.00165,0.000625
0.02,10000.0,10,0.001,41,0.010425,0.0049,0.00155,0.003875,0.002275,0.000925
0.02,10000.0,10,0.001,42,0.009125,0.0043,0.001225,0.00315,0.001625,0.000525
0.02,10000.0,10,0.001,43,0.00925,0.004375,0.001375,0.003375,0.0017,0.00075
0.02,10000.0,10,0.001,44,0.008975,0.004375,0.0013,0.00385,0.002225,0.000775
0.02,10000.0,10,0.001,45,0.00875,0.004475,0.001625,0.003025,0.0018,0.0007
0.02,10000.0,10,0.001,46,0.009975,0.004675,0.001425,0.003625,0.0019,0.00055
0.02,10000.0,10,0.001,47,0.01,0.004675,0.001575,0.003275,0.001775,0.000575
0.02,10000.0,10,0.001,48,0.009275,0.004575,0.00145,0.00345,0.0019,0.00075
0.02,10000.0,10,0.001,49,0.0088,0.004425,0.001075,0.00305,0.0019,0.000575
0.02,10000.0,10,0.001,50,0.009725,0.004375,0.001225,0.003525,0.0018,0.000675
0.02,10000.0,10,0.001,51,0.00905,0.00415,0.00135,0.003675,0.00205,0.000775
0.02,10000.0,10,0.001,52,0.008925,0.00445,0.001175,0.00305,0.001675,0.0006
0.02,10000.0,10,0.001,53,0.00915,0.004575,0.001425,0.00295,0.00165,0.000475
0.02,10000.0,10,0.001,54,0.0098,0.00495,0.001725,0.00375,0.0022,0.000925
0.02,10000.0,10,0.001,55,0.00945,0.0047,0.001475,0.003325,0.001875,0.000675
0.02,10000.0,10,0.001,56,0.0091,0.0045,0.001325,0.003075,0.00165,0.0006
0.02,10000.0,10,0.001,57,0.00865,0.004275,0.0014,0.003225,0.001975,0.00075
0.02,10000.0,10,0.001,58,0.00835,0.004125,0.001325,0.003225,0.0017,0.000725
0.02,10000.0,10,0.001,59,0.008125,0.003975,0.0011,0.003625,0.00195,0.000575
0.02,10000.0,10,0.001,60,0.008425,0.004175,0.001325,0.00345,0.001825,0.0008
0.02,10000.0,10,0.001,61,0.0094,0.0045,0.00135,0.0037,0.001875,0.0006
0.02,10000.0,10,0.001,62,0.0092,0.004575,0.001625,0.0033,0.00185,0.001
0.02,10000.0,10,0.001,63,0.009675,0.004825,0.00125,0.003475,0.00185,0.000675
0.02,10000.0,10,0.001,64,0.008925,0.0044,0.001325,0.004025,0.0021,0.000625
0.02,10000.0,10,0.001,65,0.0097,0.00455,0.00135,0.003725,0.002075,0.000775
0.02,10000.0,10,0.001,66,0.009125,0.0042,0.001275,0.0036,0.00175,0.0007
0.02,10000.0,10,0.001,67,0.00885,0.0045,0.00135,0.003025,0.001875,0.000625
0.02,10000.0,10,0.001,68,0.00795,0.00415,0.0013,0.002725,0.00155,0.000575
0.02,10000.0,10,0.001,69,0.009375,0.0047,0.00165,0.003975,0.00245,0.001025
0.02,10000.0,10,0.001,70,0.009275,0.004475,0.0014,0.00325,0.001775,0.000625
0.02,10000.0,10,0.001,71,0.00885,0.003975,0.0012,0.003325,0.001875,0.000775
0.02,10000.0,10,0.001,72,0.008775,0.00425,0.0013,0.0031,0.001825,0.00065
0.02,10000.0,10,0.001,73,0.0093,0.004075,0.0014,0.003675,0.001775,0.0006
0.02,10000.0,10,0.001,74,0.008825,0.004425,0.001375,0.0034,0.00205,0.00065
0.02,10000.0,10,0.001,75,0.0091,0.0046,0.001575,0.00385,0.0021,0.00075
